2026-03-11 13:07:51.747 | INFO     | __main__:main:46 - Mode: 🧪 TESTNET
2026-03-11 13:07:51.751 | INFO     | __main__:main:47 - DRY RUN: True
2026-03-11 13:07:51.751 | INFO     | __main__:main:48 - Symbols: ['BTCUSDT', 'ETHUSDT', 'SOLUSDT']
2026-03-11 13:07:51.751 | INFO     | __main__:main:49 - Timeframe: 15m
2026-03-11 13:07:51.752 | INFO     | __main__:main:50 - Max Leverage: 5x
2026-03-11 13:07:51.752 | INFO     | __main__:main:51 - Risk per trade: 1%
2026-03-11 13:07:56.164 | INFO     | bot.risk:__init__:87 - RiskManager initialized
2026-03-11 13:07:57.412 | INFO     | exchange.binance_client:__init__:50 - BinanceClient initialized [🧪 TESTNET | DRY RUN]
2026-03-11 13:07:57.764 | INFO     | exchange.algo_orders:__init__:38 - AlgoOrderClient ready [DRY_RUN=True]
2026-03-11 13:07:57.765 | INFO     | bot.engine:__init__:47 - TradingEngine initialized
2026-03-11 13:07:57.766 | INFO     | __main__:main:66 - Running pre-flight checks...
2026-03-11 13:07:58.610 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:07:58.611 | SUCCESS  | __main__:main:72 - ✓ Binance connected | Balance: $0.00 USDT
2026-03-11 13:07:58.611 | SUCCESS  | __main__:main:84 - Pre-flight checks complete ✓
2026-03-11 13:07:58.611 | INFO     | __main__:main:87 - Starting all services...
2026-03-11 13:07:58.612 | SUCCESS  | __main__:main:104 - 🚀 All services running!
   📡 Market Stream: 3 symbols @ 15m
   🤖 Trading Engine: DRY RUN
   🌐 API Server: http://0.0.0.0:8000
   📊 Dashboard: http://localhost:3000

2026-03-11 13:07:58.621 | INFO     | data.market_stream:start:134 - Starting market stream: 3 symbols @ 15m
2026-03-11 13:07:58.622 | DEBUG    | data.market_stream:start:135 - WS URL: wss://fstream.binance.com/stream?streams=btcusdt@kline_15m/btcusdt@miniTicker/ethusdt@kline_15m/ethusdt@miniTicker/solusdt@kline_15m/solusdt@miniTicker
2026-03-11 13:07:58.636 | INFO     | bot.engine:start:195 - TradingEngine started 🚀
2026-03-11 13:07:59.153 | INFO     | api.server:startup:114 - FastAPI server starting up...
2026-03-11 13:07:59.153 | SUCCESS  | api.server:startup:116 - Background broadcast loop started ✓
2026-03-11 13:07:59.420 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:07:59.680 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:07:59.812 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:08:01.717 | INFO     | api.server:connect:56 - WS client connected. Total: 1
2026-03-11 13:08:04.957 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:05.214 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:05.342 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:08:10.318 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:10.579 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:10.687 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
2026-03-11 13:08:13.795 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:14.889 | DEBUG    | data.klines:fetch_klines:86 - Fetched 200 candles: BTCUSDT [15m]
2026-03-11 13:08:14.895 | INFO     | ai.signal_ai:_compute_signal:201 - Signal [BTCUSDT] → SHORT | Conf: 50% | RSI: 46.6 | MACD: bearish | EMA: downtrend
2026-03-11 13:08:16.154 | DEBUG    | data.klines:fetch_klines:86 - Fetched 200 candles: ETHUSDT [15m]
2026-03-11 13:08:16.160 | INFO     | ai.signal_ai:_compute_signal:201 - Signal [ETHUSDT] → SHORT | Conf: 40% | RSI: 47.4 | MACD: bearish | EMA: downtrend
2026-03-11 13:08:18.265 | DEBUG    | data.klines:fetch_klines:86 - Fetched 200 candles: SOLUSDT [15m]
2026-03-11 13:08:18.270 | INFO     | ai.signal_ai:_compute_signal:201 - Signal [SOLUSDT] → HOLD | Conf: 50% | RSI: 46.4 | MACD: bullish | EMA: downtrend
2026-03-11 13:08:18.384 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:19.072 | ERROR    | exchange.binance_client:get_account_balance:80 - Balance fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:19.175 | ERROR    | exchange.binance_client:get_open_positions:103 - Position fetch error: APIError(code=-1109): Invalid account.
2026-03-11 13:08:19.177 | INFO     | api.server:disconnect:60 - WS client disconnected. Total: 0
2026-03-11 13:08:19.321 | ERROR    | data.market_stream:start:154 - WS error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fstream.binance.com'. (_ssl.c:1006). Reconnecting in 5s...
